bathrooms,bedrooms,city,comingSoonOnMarketDate,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
2.0,3.0,Thornton,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b4b8b05b1859ae8cb00c21f8ea74e769-p_e.jpg,False,True,False,False,False,False,False,39.9187,{'is_FSBA': True},1378.0,-104.94424,sqft,8000.0,,,,450000.0,,450000.0,,,2518,False,CO,3531 E 122nd Avenue,469000.0,479034000,447000,80241,12958288
2.0,4.0,Thornton,,USA,USD,1739433600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/73ed816ccd8f01c9c5922bc0486a59ce-p_e.jpg,False,True,False,False,False,False,False,39.90919,"{'is_FSBA': True, 'is_openHouse': True}",1669.0,-104.938416,sqft,7841.0,,Thu. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739502000000, 'open_house_start': 1739462400000}, {'open_house_end': 1739588400000, 'open_house_start': 1739548800000}, {'open_house_end': 1739761200000, 'open_house_start': 1739721600000}]}",485000.0,-1000,485000.0,"$1,000 (Feb 13)",,,False,CO,4131 E 117th Court,467000.0,1791875000,,80233,13002195
2.0,3.0,Thornton,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c008bc7fb4a0afd89a09f5103e26ffb7-p_e.jpg,False,True,False,False,False,False,False,39.857124,{'is_FSBA': True},1130.0,-104.968895,sqft,7100.0,,,,469000.0,,469000.0,,,,False,CO,1471 Oak Place,443000.0,493739000,,80229,12984581
2.0,3.0,Thornton,,USA,USD,1739433600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b14e70c69d1beb53d6281cc1aeee9073-p_e.jpg,False,True,False,False,False,False,False,39.895683,{'is_FSBA': True},1920.0,-104.932396,acres,0.31,,,,489900.0,-9100,489900.0,"$9,100 (Feb 13)",,,False,CO,10975 Birch Drive,446000.0,1619681000,,80233,13004406
3.0,4.0,Colorado Springs,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bde934e72a8bf74f03a485dc636b09f5-p_e.jpg,False,True,False,True,False,False,False,39.90271,{'is_newHome': True},2156.0,-104.9137,,,BUILDER_SPEC,,,491465.0,,491465.0,,30242407,,False,CO,6761 Raven Ridge Ter,,4314989000,492100,80925,443617196
2.0,3.0,Thornton,,USA,USD,1738396800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5f925ca43f0776037146f94c2b609865-p_e.jpg,False,True,False,False,False,False,False,39.87461,{'is_FSBA': True},1476.0,-104.94727,sqft,7700.0,,,,479900.0,-10000,479900.0,"$10,000 (Feb 1)",,2602,False,CO,9834 Cook Street,467000.0,7887977000,479800,80229,12973065
2.0,5.0,Thornton,,USA,USD,1738656000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/814d546d1bf498484784a3331536b030-p_e.jpg,False,True,False,False,False,False,False,39.87028,{'is_FSBA': True},2102.0,-104.96368,sqft,6400.0,,,,480000.0,-10000,480000.0,"$10,000 (Feb 4)",,2944,False,CO,1841 Ruth Drive,487000.0,15063504000,480400,80229,12983150
2.0,4.0,Thornton,,USA,USD,1736928000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/da6df83c6719bb64768ac4fa4fa15af8-p_e.jpg,False,True,False,False,False,False,False,39.85828,{'is_FSBA': True},1130.0,-104.96859,sqft,6800.0,,,,475000.0,-5000,475000.0,"$5,000 (Jan 15)",,2788,False,CO,8931 Hoffman Way,455000.0,18956104000,475400,80229,12984514
3.0,4.0,Brighton,,USA,USD,1733990400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a026c656c8e09a054f3cff7868c73c10-p_e.jpg,False,True,False,True,False,False,False,39.96638,{'is_newHome': True},1951.0,-104.90808,,,BUILDER_SPEC,,,487990.0,-90,487990.0,$90 (Dec 12),30214447,,False,CO,2049 Barnwood Dr,53602.0,17695388000,488100,80601,402072143
2.0,5.0,Thornton,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e031ae7502922d77e4a730b067b7de89-p_e.jpg,False,True,False,False,False,False,False,39.859047,{'is_FSBA': True},1976.0,-104.997734,sqft,9230.0,,,,495000.0,,495000.0,,,,False,CO,8932 Neil Street,476000.0,1772684000,,80260,12982872
